"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C4","LC-0805_C","31.5722mm","41.148mm","31.5722mm","41.148mm","30.6822mm","41.148mm","B","360.00","20pF (200) 5% 50V"
"R7","LC-0805_R","20.0914mm","51.1048mm","20.0914mm","51.1048mm","19.2014mm","51.1048mm","B","360.00","4.7K次 (4701) ㊣1%"
"R6","LC-0805_R","20.0914mm","53.5432mm","20.0914mm","53.5432mm","19.2014mm","53.5432mm","B","360.00","4.7K次 (4701) ㊣1%"
"C16","LC-0805_C","8.8138mm","52.959mm","8.8138mm","52.959mm","7.9238mm","52.959mm","B","360.00","10nF (103) 10% 50V"
"C12","LC-0805_C","18.796mm","55.9308mm","18.796mm","55.9308mm","17.906mm","55.9308mm","B","360.00","2.2nF (222) 5% 50V"
"C3","LC-0805_C","31.5722mm","45.6438mm","31.5722mm","45.6438mm","30.6822mm","45.6438mm","B","360.00","20pF (200) 5% 50V"
"R31","LC-0805_R","39.5224mm","31.5976mm","39.5224mm","31.5976mm","38.8931mm","32.2269mm","T","315.00","200次 (2000) ㊣1%"
"R30","LC-0805_R","39.497mm","31.5976mm","39.497mm","31.5976mm","38.8677mm","32.2269mm","B","315.00","200次 (2000) ㊣1%"
"R29","LC-0805_R","20.574mm","30.3022mm","20.574mm","30.3022mm","21.464mm","30.3022mm","B","180.00","200次 (2000) ㊣1%"
"R28","LC-0805_R","45.1358mm","37.3126mm","45.1358mm","37.3126mm","44.5065mm","37.9419mm","T","315.00","200次 (2000) ㊣1%"
"R27","LC-0805_R","45.1612mm","37.338mm","45.1612mm","37.338mm","44.5319mm","37.9673mm","B","315.00","200次 (2000) ㊣1%"
"R26","LC-0805_R","35.56mm","30.3022mm","35.56mm","30.3022mm","34.67mm","30.3022mm","B","360.00","200次 (2000) ㊣1%"
"R25","LC-0805_R","50.9016mm","42.8498mm","50.9016mm","42.8498mm","50.2723mm","43.4791mm","T","315.00","200次 (2000) ㊣1%"
"R24","LC-0805_R","50.9016mm","42.8244mm","50.9016mm","42.8244mm","50.2723mm","43.4537mm","B","315.00","200次 (2000) ㊣1%"
